id,title,year,rating,votes,runtime,genres
225,De beste jaren van ons leven,1946,8.1,75K,2h 50m,Epic
226,Before Sunset,2004,8.1,303K,1h 20m,Feel-Good Romance
227,The Exorcist,1973,8.1,479K,2h 2m,Body Horror
228,The Sound of Music,1965,8.1,277K,2h 52m,Classic Musical
229,La passion de Jeanne d'Arc,1928,8.1,65K,1h 50m,Legal Drama
230,The Incredibles,2004,8.0,857K,1h 55m,Computer Animation
231,The Wizard of Oz,1939,8.1,451K,1h 42m,Adventure Epic
232,I'm Still Here,2024,8.2,111K,2h 17m,Docudrama
233,Hachi,2009,8.1,329K,1h 33m,Animal Adventure
234,Rush,2013,8.1,536K,2h 3m,Docudrama
235,Stand by Me,1986,8.1,465K,1h 29m,Coming-of-Age
236,Babam ve Oglum,2005,8.2,98K,1h 52m,Coming-of-Age
237,Network,1976,8.1,180K,2h 1m,Dark Comedy
238,De IJzeren reus,1999,8.1,246K,1h 26m,Alien Invasion
239,Ah-ga-ssi,2016,8.1,189K,2h 25m,Dark Romance
240,A Silent Voice,2016,8.1,122K,2h 10m,Anime
241,De slag om Algiers,1966,8.1,71K,2h 1m,Docudrama
242,Spionnage in het spel,1942,8.1,47K,1h 39m,Screwball Comedy
243,The Grapes of Wrath,1940,8.1,105K,2h 9m,Period Drama
244,Into the Wild,2007,8.0,680K,2h 28m,Coming-of-Age
245,Groundhog Day,1993,8.0,718K,1h 41m,Feel-Good Romance
246,The Help,2011,8.1,514K,2h 26m,Period Drama
247,Gangs of Wasseypur,2012,8.2,108K,5h 21m,Gangster
248,Amores perros,2000,8.0,268K,2h 34m,Tragedy
249,Drishyam,2015,8.2,102K,2h 43m,Suspense Mystery
