,id,title,year,rating,votes,runtime,genres,decade
218,218,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1,1300000,0 days 02:23:00,Sea Adventure,2000-e
219,219,Det sjunde inseglet,1957,8.1,209000,0 days 01:36:00,Psychological Drama,1950-e
220,220,Room,2015,8.1,469000,0 days 01:58:00,Psychological Drama,2010-e
221,221,La haine,1995,8.1,213000,0 days 01:38:00,Gangster,1990-e
222,222,Jai Bhim,2021,8.6,226000,0 days 02:44:00,Legal Drama,2020-e
223,223,Hotel Rwanda,2004,8.1,384000,0 days 02:01:00,Docudrama,2000-e
224,224,Platoon,1986,8.1,457000,0 days 02:00:00,Drama,1980-e
225,225,De beste jaren van ons leven,1946,8.1,75000,0 days 02:50:00,Epic,1940-e
226,226,Before Sunset,2004,8.1,303000,0 days 01:20:00,Feel-Good Romance,2000-e
227,227,The Exorcist,1973,8.1,479000,0 days 02:02:00,Body Horror,1970-e
228,228,The Sound of Music,1965,8.1,277000,0 days 02:52:00,Classic Musical,1960-e
229,229,La passion de Jeanne d'Arc,1928,8.1,65000,0 days 01:50:00,Legal Drama,1920-e
230,230,The Incredibles,2004,8.0,857000,0 days 01:55:00,Computer Animation,2000-e
231,231,The Wizard of Oz,1939,8.1,451000,0 days 01:42:00,Adventure Epic,1930-e
232,232,I'm Still Here,2024,8.2,111000,0 days 02:17:00,Docudrama,2020-e
233,233,Hachi,2009,8.1,329000,0 days 01:33:00,Animal Adventure,2000-e
234,234,Rush,2013,8.1,536000,0 days 02:03:00,Docudrama,2010-e
235,235,Stand by Me,1986,8.1,465000,0 days 01:29:00,Coming-of-Age,1980-e
236,236,Babam ve Oglum,2005,8.2,98000,0 days 01:52:00,Coming-of-Age,2000-e
237,237,Network,1976,8.1,180000,0 days 02:01:00,Dark Comedy,1970-e
238,238,De IJzeren reus,1999,8.1,246000,0 days 01:26:00,Alien Invasion,1990-e
239,239,Ah-ga-ssi,2016,8.1,189000,0 days 02:25:00,Dark Romance,2010-e
240,240,A Silent Voice,2016,8.1,122000,0 days 02:10:00,Anime,2010-e
241,241,De slag om Algiers,1966,8.1,71000,0 days 02:01:00,Docudrama,1960-e
242,242,Spionnage in het spel,1942,8.1,47000,0 days 01:39:00,Screwball Comedy,1940-e
243,243,The Grapes of Wrath,1940,8.1,105000,0 days 02:09:00,Period Drama,1940-e
244,244,Into the Wild,2007,8.0,680000,0 days 02:28:00,Coming-of-Age,2000-e
245,245,Groundhog Day,1993,8.0,718000,0 days 01:41:00,Feel-Good Romance,1990-e
246,246,The Help,2011,8.1,514000,0 days 02:26:00,Period Drama,2010-e
247,247,Gangs of Wasseypur,2012,8.2,108000,0 days 05:21:00,Gangster,2010-e
248,248,Amores perros,2000,8.0,268000,0 days 02:34:00,Tragedy,2000-e
249,249,Drishyam,2015,8.2,102000,0 days 02:43:00,Suspense Mystery,2010-e
